YEAR,Location,PD,Variety,id,PDOY,Dens,Yield,rMG1,rMG,ED,R1,R5,R7,ED_R1_Tmax,R1_R5_Tmax,R1_R7_Tmax,R5_R7_Tmax,ED_R1_Tmin,R1_R5_Tmin,R5_R7_Tmin,ED_R1_Srad,R1_R5_Srad,R5_R7_Srad,ED_R1_Phot,R1_R5_Phot,R5_R7_Phot,CIPAR_E_R1,CIPAR_R1_R5,CIPAR_R5_R7,Oil,Protein,MAX_Tmax_ED_R1,MIN_Tmax_ED_R1,SD_Tmax_ED_R1,MAX_Tmin_ED_R1,MIN_Tmin_ED_R1,SD_Tmin_ED_R1,MAX_Srad_ED_R1,MIN_Srad_ED_R1,SD_Srad_ED_R1,MAX_Phot_ED_R1,MIN_Phot_ED_R1,SD_Phot_ED_R1,MAX_Tmax_R1_R5,MIN_Tmax_R1_R5,SD_Tmax_R1_R5,MAX_Tmin_R1_R5,MIN_Tmin_R1_R5,SD_Tmin_R1_R5,MAX_Srad_R1_R5,MIN_Srad_R1_R5,SD_Srad_R1_R5,MAX_Phot_R1_R5,MIN_Phot_R1_R5,SD_Phot_R1_R5,MAX_Tmax_R5_R7,MIN_Tmax_R5_R7,SD_Tmax_R5_R7,MAX_Tmin_R5_R7,MIN_Tmin_R5_R7,SD_Tmin_R5_R7,MAX_Srad_R5_R7,MIN_Srad_R5_R7,SD_Srad_R5_R7,MAX_Phot_R5_R7,MIN_Phot_R5_R7,SD_Phot_R5_R7
2012,C St,3,5N342R2,C St_2012_3_3_5N342R2,125,50.7,3231.786872,3,3.4,132,155,178,223,32.52,34.89,35.83,36.3,19.43,22.11,22.91,23.31,23.51,23.45,14.75,15.03,14.71,26.71,200.55,513.78,20.7,33.9,39.8,29,2.529045045,25.3,21.3,1.018301726,26.2,16.3,2.301602309,14.90983002,14.43097201,0.148344132,40.2,32.4,2.152181233,26,20.6,1.401448526,25.9,19,1.505635549,14.43097201,13.75475893,0.208559911,39.4,17,5.081903101,24,9.9,3.99351467,24.7,9.9,3.565007063,13.75475893,12.3253803,0.42894405
2012,C St,3,5N342R2,C St_2012_3_3_5N342R2,125,46.1,2791.243161,3,3.4,132,155,178,223,32.52,34.89,35.83,36.3,19.43,22.11,22.91,23.31,23.51,23.45,14.75,15.03,14.71,26.71,200.55,513.78,20.4,34.9,39.8,29,2.529045045,25.3,21.3,1.018301726,26.2,16.3,2.301602309,14.90983002,14.43097201,0.148344132,40.2,32.4,2.152181233,26,20.6,1.401448526,25.9,19,1.505635549,14.43097201,13.75475893,0.208559911,39.4,17,5.081903101,24,9.9,3.99351467,24.7,9.9,3.565007063,13.75475893,12.3253803,0.42894405
2012,C St,4,5N342R2,C St_2012_4_3_5N342R2,146,35.4,2261.639662,3,3.4,152,176,206,235,34.53,35.74,36.53,37.35,21.93,22.74,23.17,23.35,23.43,23.28,15.01,14.89,14.26,43.94,307.89,336.36,20.1,36.1,40.2,32.4,2.177330169,26,20.6,1.270734696,26,19,1.661354869,14.50789019,13.81773827,0.212446895,39.4,25.4,3.65202551,24,12.4,3.455900362,24.7,11.8,2.990339284,13.81773827,12.85270844,0.2933205,36.7,-99,33.13273358,22.3,-99,29.39607449,23.1,-99,29.65284755,12.85270844,11.98141459,0.265190162
2012,C St,4,5N342R2,C St_2012_4_3_5N342R2,146,49.4,1713.095718,3,3.4,152,176,206,235,34.53,35.74,36.53,37.35,21.93,22.74,23.17,23.35,23.43,23.28,15.01,14.89,14.26,43.94,307.89,336.36,19.8,36.8,40.2,32.4,2.177330169,26,20.6,1.270734696,26,19,1.661354869,14.50789019,13.81773827,0.212446895,39.4,25.4,3.65202551,24,12.4,3.455900362,24.7,11.8,2.990339284,13.81773827,12.85270844,0.2933205,36.7,-99,33.13273358,22.3,-99,29.39607449,23.1,-99,29.65284755,12.85270844,11.98141459,0.265190162
2012,C St,4,5N342R2,C St_2012_4_3_5N342R2,146,47.7,2711.092393,3,3.4,152,176,206,235,34.53,35.74,36.53,37.35,21.93,22.74,23.17,23.35,23.43,23.28,15.01,14.89,14.26,43.94,307.89,336.36,21.1,33.8,40.2,32.4,2.177330169,26,20.6,1.270734696,26,19,1.661354869,14.50789019,13.81773827,0.212446895,39.4,25.4,3.65202551,24,12.4,3.455900362,24.7,11.8,2.990339284,13.81773827,12.85270844,0.2933205,36.7,-99,33.13273358,22.3,-99,29.39607449,23.1,-99,29.65284755,12.85270844,11.98141459,0.265190162
2012,C St,4,5N342R2,C St_2012_4_3_5N342R2,146,47.7,2159.905101,3,3.4,152,176,206,235,34.53,35.74,36.53,37.35,21.93,22.74,23.17,23.35,23.43,23.28,15.01,14.89,14.26,43.94,307.89,336.36,21.1,34,40.2,32.4,2.177330169,26,20.6,1.270734696,26,19,1.661354869,14.50789019,13.81773827,0.212446895,39.4,25.4,3.65202551,24,12.4,3.455900362,24.7,11.8,2.990339284,13.81773827,12.85270844,0.2933205,36.7,-99,33.13273358,22.3,-99,29.39607449,23.1,-99,29.65284755,12.85270844,11.98141459,0.265190162
2013,C St,1,5N342R2,C St_2013_1_3_5N342R2,99,24.49693788,1468.055862,3,3.4,106,139,165,202,27.78,33.66,35.5,36.79,13.41,21.15,22.22,20.31,21.42,22.58,14.24,14.89,14.96,28.42,205.87,408.83,20.2,34.8,40.3,29,2.609642069,24.5,19.1,1.123850175,27.5,16.3,2.730009174,15.05418276,14.79418679,0.081190302,40.2,33.6,1.918117251,25.3,21.3,0.939448829,26.2,19.4,1.617690662,14.79418679,14.15245601,0.197254162,39.5,25.4,3.523165564,26,13.5,2.758058154,24.8,11.8,2.797795566,14.15245601,12.98100149,0.353746681
2013,C St,1,5N342R2,C St_2013_1_3_5N342R2,99,31.49606299,1689.850693,3,3.4,106,139,165,202,27.78,33.66,35.5,36.79,13.41,21.15,22.22,20.31,21.42,22.58,14.24,14.89,14.96,28.42,205.87,408.83,20.8,31.5,40.3,29,2.609642069,24.5,19.1,1.123850175,27.5,16.3,2.730009174,15.05418276,14.79418679,0.081190302,40.2,33.6,1.918117251,25.3,21.3,0.939448829,26.2,19.4,1.617690662,14.79418679,14.15245601,0.197254162,39.5,25.4,3.523165564,26,13.5,2.758058154,24.8,11.8,2.797795566,14.15245601,12.98100149,0.353746681
2013,C St,1,5N342R2,C St_2013_1_3_5N342R2,99,20.99737533,1802.77656,3,3.4,106,139,165,202,27.78,33.66,35.5,36.79,13.41,21.15,22.22,20.31,21.42,22.58,14.24,14.89,14.96,28.42,205.87,408.83,20.2,34.1,40.3,29,2.609642069,24.5,19.1,1.123850175,27.5,16.3,2.730009174,15.05418276,14.79418679,0.081190302,40.2,33.6,1.918117251,25.3,21.3,0.939448829,26.2,19.4,1.617690662,14.79418679,14.15245601,0.197254162,39.5,25.4,3.523165564,26,13.5,2.758058154,24.8,11.8,2.797795566,14.15245601,12.98100149,0.353746681
2013,C St,1,5N342R2,C St_2013_1_3_5N342R2,99,26.24671916,1303.793711,3,3.4,106,139,165,202,27.78,33.66,35.5,36.79,13.41,21.15,22.22,20.31,21.42,22.58,14.24,14.89,14.96,28.42,205.87,408.83,20.1,33.4,40.3,29,2.609642069,24.5,19.1,1.123850175,27.5,16.3,2.730009174,15.05418276,14.79418679,0.081190302,40.2,33.6,1.918117251,25.3,21.3,0.939448829,26.2,19.4,1.617690662,14.79418679,14.15245601,0.197254162,39.5,25.4,3.523165564,26,13.5,2.758058154,24.8,11.8,2.797795566,14.15245601,12.98100149,0.353746681
